Gender,Age,Marriage_Status,Income_Satisfaction,Education,Delayed_Emotion_Recognition,Knock_Things_Over_Not_Paying_Attention,Not_Focused_On_Present,Walk_Quickly_Not_Focused_On_Surroundings,Difficulty_Feeling_Tension_Or_Emotional_Discomfort,Forget_Introduction_Names,Autopilot,Rushing_Activities_Not_Focused,Focused_On_Goal_Not_Current_Steps,Do_Tasks_Without_Awareness,Listen_While_Multitasking,Drive_On_Autopilot_Incorrect_Destination,Focused_On_Future_And_Past,Doing_Tasks_While_Not_Focused,Not_Focused_While_Eating,Practice_Mindfulness,How_Many_Days_Per_Week_Meditatoin,Average_Meditation_Duration,How_Focused_Was_Meditation,Did_Mind_Wander_Meditation,Receptive_Attitude_Towards_Experience_Meditation,Gentle_With_Yourself_During_Meditation,Pay_Attention_To_Chores,Pay_Attention_While_Working_Or_Studying,Able_To_Refocus_Attention,Awareness_Of_Thoughts_Or_Feelings,Healthy_Reception,Compassionate_To_Yourself
2,25.00,1,2,4,3,3,4,4,4,2,3,3,3,3,2,4,1,3,4,2,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,23.00,1,2,2,3,3,3,2,3,3,2,2,3,2,2,3,2,3,4,1,1.00,2,4,3,4,4,5,4,3,4,4,4
2,25.00,1,2,2,3,3,4,2,1,3,3,3,3,3,2,4,2,3,4,1,0.00,NaN,NaN,NaN,NaN,4,4,3,3,3,3,3
2,23.00,1,2,2,2,2,1,3,1,1,1,2,2,2,2,1,1,1,1,1,0.00,3,5,4,4,4,5,4,4,4,5,5
1,25.00,1,2,3,3,4,3,3,3,2,3,3,3,3,3,2,2,2,4,2,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,25.00,2,3,4,4,2,2,2,3,3,3,2,2,3,2,3,2,2,3,2,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,25.00,1,3,2,3,2,2,2,3,2,3,2,3,3,4,3,2,2,3,2,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,25.00,2,2,2,3,2,2,3,3,2,2,2,3,2,1,3,2,2,2,2,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,24.00,1,2,4,4,4,3,3,3,4,4,4,4,4,2,4,2,4,4,1,0.00,2,4,2,4,4,4,4,4,4,4,4
2,23.00,1,2,4,3,4,3,3,3,3,3,4,4,4,3,4,2,4,4,2,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,25.00,1,2,4,2,2,1,2,2,1,3,2,1,2,2,2,1,1,1,2,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,23.00,1,2,2,2,3,2,3,3,3,3,2,2,3,2,3,1,2,2,2,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,70.00,2,1,5,3,2,3,3,3,4,3,3,3,3,2,4,2,3,4,1,4.00,2,4,4,3,3,4,3,4,3,4,4
1,25.00,1,2,4,2,4,3,1,3,4,3,2,2,3,3,4,3,3,4,1,2.00,2,4,2,3,1,4,4,4,3,3,2
2,23.00,1,2,2,2,3,2,2,3,2,3,3,3,3,2,4,1,4,3,1,2.00,1,3,4,2,2,4,1,2,2,2,1
2,23.00,1,2,2,3,2,3,4,3,2,2,3,3,3,3,2,2,4,4,2,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,1,2,2,2,4,3,4,4,4,4,4,3,4,4,4,2,4,3,2,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,27.00,1,3,4,3,3,3,2,3,1,2,2,3,3,2,4,3,2,3,2,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,23.00,1,1,2,3,3,3,3,3,3,2,2,3,3,2,2,3,3,4,2,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,23.00,2,3,2,2,2,3,2,2,1,2,2,2,2,2,3,2,2,3,2,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,23.00,2,3,2,3,4,3,3,4,4,3,3,3,3,4,3,2,3,2,2,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,24.00,1,1,2,3,3,2,2,2,3,3,2,3,3,3,3,2,2,3,2,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,25.00,1,3,2,2,2,1,2,2,2,3,1,3,4,2,1,3,4,1,1,2.00,3,2,4,2,2,4,4,4,5,2,3
2,23.00,2,4,2,3,4,3,3,3,3,3,3,3,3,3,3,2,3,3,2,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,27.00,1,2,2,4,4,4,4,4,2,2,3,4,3,4,4,4,4,4,2,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,24.00,1,3,2,3,2,3,2,3,4,2,3,2,3,3,3,1,3,3,1,0.00,NaN,NaN,NaN,NaN,4,4,2,4,4,3,3
2,21.00,1,2,4,3,2,3,3,3,4,3,3,3,3,3,2,2,3,2,2,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,24.00,2,2,4,3,1,1,1,3,2,2,2,2,2,2,2,1,1,3,1,4.00,2,4,4,5,5,2,3,4,4,3,4
2,30.00,1,2,4,2,3,3,3,3,2,3,3,4,3,1,3,2,2,3,2,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,55.00,2,2,5,3,4,3,3,3,3,3,3,3,2,2,3,2,3,4,1,5.00,2,3,4,4,4,3,4,4,4,4,4
1,25.00,1,1,3,3,3,3,3,3,3,3,2,3,3,2,2,2,2,4,1,3.00,3,5,4,4,5,5,5,4,5,5,5
2,25.00,1,1,2,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,74.00,2,2,3,4,3,4,3,3,3,3,4,3,4,4,4,3,4,4,2,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,55.00,2,1,5,3,3,3,3,3,3,3,3,3,3,2,3,2,2,4,2,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,35.00,2,3,4,3,3,3,3,4,3,4,3,3,3,3,4,2,4,4,1,2.00,3,4,3,4,4,3,3,4,5,4,4
2,30.00,2,1,5,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,2,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,20.00,1,2,4,2,2,3,1,3,2,3,1,3,3,1,2,1,2,3,2,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,24.00,2,3,2,2,4,3,1,4,2,2,2,3,4,4,4,2,2,4,2,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,62.00,2,1,5,3,2,2,3,3,3,2,3,3,3,2,3,1,3,2,1,3.00,1,3,4,3,3,4,2,3,4,3,3
2,24.00,1,1,2,4,3,4,2,4,4,4,4,4,4,1,4,1,4,4,2,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,25.00,1,2,3,3,4,4,2,4,1,2,2,4,3,1,4,1,4,4,1,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,22.00,1,2,4,2,1,1,1,2,3,3,2,2,2,3,4,3,2,4,2,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,22.00,1,2,4,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,2.00,3,3,3,3,3,2,2,2,4,3,3
